domaine,score,contact,email_envoye,gabarit,relance_1,relance_2,statut,lien_obtenu,url_du_lien,notes
agences-geo.com,78.7,,,email-01-annuaire-geo.md,,,a_envoyer,non,,
sebastien-vallat.com,77.9,,,email-02-classement-agences.md,,,a_envoyer,non,,
seomix.fr,68.0,,,email-06-wordpress-outil.md,,,bloque,non,,depot open source a publier d'abord
leblogdumarketing.com,67.6,,,email-03-article-invite.md,,,a_envoyer,non,,
webrankinfo.com,65.3,,,email-04-media-data.md,,,bloque,non,,barometre GEO a produire d'abord
abondance.com,64.9,,,email-04-media-data.md,,,bloque,non,,barometre GEO a produire d'abord
codeur.com,63.7,,,email-03-article-invite.md,,,a_envoyer,non,,
blogdumoderateur.com,59.5,,,email-04-media-data.md,,,bloque,non,,barometre GEO a produire d'abord
dynamique-mag.com,58.9,,,email-03-article-invite.md,,,a_envoyer,non,,
nicematin.com,58.4,,,email-08-presse-locale.md,,,bloque,non,,donnees 06 a produire d'abord
journalducm.com,58.0,,,email-03-article-invite.md,,,a_envoyer,non,,
dualmedia.fr,57.7,,,email-03-article-invite.md,,,a_envoyer,non,,audience hors cible - basse priorite
siecledigital.fr,54.2,,,email-04-media-data.md,,,bloque,non,,barometre GEO a produire d'abord
journaldunet.com,53.5,,,email-05-tribune.md,,,a_envoyer,non,,
chefdentreprise.com,49.9,,,email-05-tribune.md,,,a_envoyer,non,,
bpifrance-creation.fr,47.4,,,email-07-prescripteur.md,,,a_envoyer,non,,
